PM2.5,PM10,SO2,NO2,CO,O3,Temperature,Humidity,Wind_Speed,Precipitation,Month,Day_Of_Week,Season,Elevation,Location_Type,Traffic_Density,Population_Density,AQI_Value,AQI_Bucket
35.90519084803855,71.27401012414644,21.535943732482018,59.5693937727324,0.0037383925429120275,17.049987213436243,34.133910908021825,56.543206474172784,2.562288926666811,0.7440498453719179,2.0,,2.0,300.732861139529,Suburban,19.904064107084952,2331.0358325202355,243,Very Unhealthy
22.416970953233815,45.70760422525832,18.987492752805935,48.58825264898245,0.3624840589283899,15.68575754998221,23.625362302609872,56.61018975733066,4.5603962094791894,0.17571019981065464,10.0,5.0,1.0,205.9796733642073,Suburban,7.675233630561253,1073.771100675984,91,Moderate
20.734253765564304,47.42190231266399,14.501321836504319,3.623711474695743,0.4512435389801901,31.496768340830485,26.176239840748426,73.84767458434376,8.85107633826787,0.5721512963869857,8.0,5.0,4.0,201.4118964664982,Rural,4.3097430067968245,2023.9579418270175,38,Good
20.73453441497701,42.15596426000335,3.4086024586988097,46.73678787771935,2.0795656104916054,135.07675616961245,,72.74832969331337,11.730773122956009,0.6084843314235363,2.0,4.0,2.0,505.5767338926711,Industrial,6.775728656588152,3894.95366267011,165,Unhealthy
69.74571618345976,127.19515609335475,12.901774496306713,18.532802193878013,0.7012946130969252,17.257246037016877,13.37104683752199,38.666097266847466,1.1111180131551697,0.41335233373933616,4.0,6.0,3.0,176.27898128372607,Urban,2.9522249513464938,2156.5559858767647,354,Hazardous
43.000593464463336,85.57080915365225,6.125013358896055,41.22147645848072,0.32576690393419516,66.59539179038592,34.13035984646262,87.24630857042165,6.061519932733535,0.4588939038061029,9.0,1.0,4.0,344.71457519870813,Suburban,3.4332881463499487,3522.2681052210633,182,Unhealthy
16.966170026113485,39.3129837712372,17.858184264250625,6.008654339796396,0.679159049926849,24.185097878999144,28.85410176932048,77.14138047624218,7.904693340189632,0.42719186431935385,4.0,1.0,3.0,432.45542575883246,Rural,5.216706217138507,1775.4872453957596,43,Good
37.0472171014682,75.52884969893987,9.111130189330005,14.161051722460355,0.7655566572245619,53.058581881904196,22.86909598066339,55.77692084763928,7.033481328765074,0.042705095601396,7.0,7.0,4.0,383.1323607119415,Suburban,6.942810019038386,6115.986708362918,156,Unhealthy
29.984403960969704,51.511209553765454,,26.875559258675956,0.2015350624491981,63.1972423225905,14.058646007962942,48.131257053486486,7.197289811422376,0.5547335114267378,11.0,4.0,1.0,215.5984053647964,Rural,5.338230407487801,1983.3845797378378,50,Good
3.238724152358781,-0.9403883182462138,22.580360590148025,78.81980404521127,1.0488567333108654,40.228985375384454,22.756815351094573,76.65668916283948,1.8050051749658078,0.31722692638820904,5.0,6.0,3.0,425.8832611666379,Rural,9.343350319626769,1310.7754872413718,115,Unhealthy for Sensitive Groups
10.068634240315594,15.357580715393636,0.9031825841432031,26.92900460899218,0.9160063847041675,18.97635437059844,16.816475379149303,67.44601495468042,3.8522436353953533,0.2885337133692281,2.0,3.0,2.0,323.36646838012507,Rural,3.0791339004181753,7356.805360497639,45,Good
31.592484560222452,60.384680287366294,12.164961299650729,53.4585514953837,0.24335781924500538,46.44709279791907,36.86853790504875,70.74611086948565,2.342443778052554,0.9830536381292034,8.0,1.0,4.0,42.00871220963819,,3.767181049424143,2345.5106085278194,160,Unhealthy
65.47765301225293,118.65557014871581,18.796204184273,29.76921314224493,0.1469952440119956,26.921381706217822,25.917583267555198,68.56281846172652,4.215729120265665,0.01175035224638543,11.0,5.0,1.0,483.4898408770964,Industrial,5.568754781982882,3475.509724574787,334,Hazardous
20.877782774387192,36.54760406801271,45.40579542823195,28.97111808303527,3.6677493779674455,139.49889445888604,18.23029708938703,78.21821163007439,1.6923106205553593,0.14471841754630185,10.0,5.0,1.0,207.9621266564521,Rural,5.356146341503924,1295.3262142403091,336,Hazardous
15.870411585814555,31.369147848490876,7.198319257268505,36.91946413862684,0.6743530869885144,60.68180087252543,10.623974638884446,72.83904688050112,5.799720648557705,0.06471476543984939,10.0,6.0,1.0,273.6594367894292,Rural,2.26724342834002,3384.5809260565266,48,Good
27.210113122082486,41.624178211382144,15.533843684056777,23.88549016037019,1.3485802724795273,59.156224203107215,20.369537399749483,51.99184176489712,4.235272827703581,0.017990327105987993,2.0,1.0,2.0,346.419806483802,Urban,5.519713997294936,3878.189926479695,190,Unhealthy
15.079267210771464,27.848527472846342,1.0164513236444133,44.66081666226691,0.06523151333947715,73.86563769413485,37.362351239265394,51.11311686324864,1.6955186155648614,0.16125892513935405,3.0,1.0,2.0,220.216209699389,Urban,10.409119795558384,988.9070058419175,131,Unhealthy for Sensitive Groups
,41.17130551499747,11.606711628371698,9.517167113477834,0.12927401705755107,4.0970333852244964,26.114323327243117,65.3392682226649,5.456017343177929,2.2316735669570917,10.0,3.0,1.0,413.5361582989791,Suburban,5.433812892693524,4693.129510653196,38,Good
